MKZ_ID;Wiek_zabytku
2;XVIII
3;XX
7;XIX
13;XX
23;XX
25;XIX
27;XX
28;XIX
34;XX
49;BRAK DANYCH
53;XX
84;XIX
91;XX
92;XX
98;XIX
99;XX
100;XX
111;XIX
151;XX
168;XX
180;XX
188;XX
194;XIX
195;XX
246;XIX
256;XIX
284;XX
306;XX
307;XX
317;XVIII
318;XVIII
319;XX
324;XVI
330;XVII
335;XX
337;XIX
338;XVIII
350;XX
352;XX
363;XX
364;XX
372;XX
373;XIX
374;XX
375;BRAK DANYCH
376;XX
377;XX
382;XX
401;XX
403;BRAK DANYCH
411;XX
412;XX
418;BRAK DANYCH
424;XX
428;XX
436;XIX
443;XX
459;BRAK DANYCH
481;XX
482;XIX
495;XIX
509;XX
510;XX
511;XX
524;XX
555;XX
560;XX
572;XVI
668;XIX
674;XX
675;XX
676;XX
678;XX
697;XX
698;XV
699;XVIII
713;XIX
757;XVIII
758;XVI
760;XIX
764;XX
765;XIX
766;XX
767;XX
773;XX
774;XIX
775;XX
779;XIX
782;XII
783;XI
793;XVII
832;XIX
838;XIX
839;XVI
840;XIX
859;XX
860;XX
862;XX
875;XX
957;BRAK DANYCH
959;XX
966;XX
970;XVI
992;XIX
993;XIX
1014;XX
1104;XIX
1210;XIX
1233;XX
1276;XX
1295;XIX
1326;XX
1342;XX
1343;XV
1350;XX
1351;XIX
1352;XV
1353;XIX
1354;XX
1355;XX
1382;XX
1385;XIX
1388;XX
1389;XIX
1390;XX
1391;XX
1392;XX
1393;XX
1395;XX
1396;XX
1397;XX
1404;XIX
1407;XVIII
1408;XIX
1409;XX
1411;XX
1412;XVI
1413;XVI
1414;XIX
1415;XVI
1416;XV
1418;XX
1419;XIX
1424;XX
1432;XX
1433;XX
1438;XIX
1439;XV
1442;XX
1443;XIX
1444;XX
1447;XV
1450;XVI
1451;XV
1454;XV
1457;XX
1458;XX
1469;XVI
1470;XVI
1488;XVI
1513;XVI
1514;BRAK DANYCH
1516;XV
1528;XIX
1572;XIX
1573;XX
1574;XX
1575;XX
1576;XX
1577;XX
1578;XIX
1580;XV
1581;XX
1583;XX
1584;XX
1585;BRAK DANYCH
1586;XIX
1587;XX
1588;XX
1589;XV
1594;XX
1595;XIX
1612;XV
1613;XV
1614;XX
1616;XX
1618;XIX
1619;XIX
1621;XX
1622;XVI
1624;XIX
1625;XX
1626;XIX
1629;XX
1630;XIV
1631;XX
1632;XIX
1633;XIX
1634;XIX
1636;XV
1637;XVI
1638;XVI
1639;XVI
1640;XVI
1642;XIX
1643;XVI
1646;XVI
1647;XV
1649;XVIII
1650;XV
1651;XV
1652;XV
1653;XV
1654;XV
1655;XV
1656;XV
1657;XVIII
1659;XV
1660;XV
1662;XIX
1664;XX
1665;XX
1667;XX
1668;XX
1669;XX
1670;XIX
1671;XX
1672;XIX
1673;XIX
1674;XIX
1676;XX
1677;XIX
1680;XX
1682;XX
1683;XX
1684;XX
1685;XX
1686;XX
1687;XV
1689;XVI
1690;XIII
1691;XV
1692;XV
1693;BRAK DANYCH
1694;XVI
1695;BRAK DANYCH
1696;XV
1697;XX
1701;XX
1702;XX
1703;XX
1704;XX
1705;XX
1706;XX
1709;XIX
1711;XV
1712;XIX
1713;XIX
1714;XX
1715;XX
1718;XIX
1719;XIX
1720;XX
1721;XIX
1722;XX
1723;XVI
1724;BRAK DANYCH
1725;XVI
1727;XV
1729;BRAK DANYCH
1731;XVI
1733;XIX
1734;XX
1735;XVIII
1737;XVIII
1738;XIX
1739;XX
1742;XX
1743;BRAK DANYCH
1744;XVI
1746;XX
1747;XIX
1748;XIX
1750;XVI
1751;XV
1752;XIX
1753;XV
1755;XIX
1756;XX
1757;XV
2112;XIX
2124;XV
2125;XVI
2126;XVI
2127;XVI
2128;XVI
2130;XX
2175;XX
2176;XX
2177;XX
2179;XX
2180;XIX
2189;XIX
2195;XIX
2196;XIX
2197;XX
2198;XX
2201;XIX
2204;XX
2205;XIX
2206;XIX
2207;XIX
2208;XIX
2209;XX
2210;XIX
2211;XX
2212;XX
2213;XX
2214;XX
2215;XX
2223;XIX
2230;XIX
2231;XIX
2232;XIX
2233;XIX
2234;XIX
2235;XIX
2236;XIX
2246;XX
2724;XIX
3222;XX
3223;XIX
3286;XIX
3394;XX
6135;XIX
6136;XX
6137;XX
6151;XIX
6155;XX
6178;XX
6179;XX
6180;XIX
6182;XIX
6183;XIX
6205;XIX
6206;XIII
6213;XVI
6214;XVI
6217;XX
6218;XX
6219;XX
6222;XX
6223;XX
6224;XVIII
6225;XVIII
6227;XX
6228;XIX
6229;XX
6232;XVI
6233;XVII
6234;XV
6244;XVII
6247;XVIII
6251;XVII
6252;XVII
6257;XIX
6270;XIX
6271;XIX
6277;XIX
6279;XVIII
6282;XIX
6283;XIX
6284;XIX
6323;XIII
6325;XX
6332;XIX
6336;XIX
6337;XX
6338;XIX
6340;XIX
6346;XX
6348;XX
6349;XX
6350;XX
6351;XX
6353;XX
6354;XIX
6355;XIX
6356;XX
6367;XX
6368;XX
6372;XX
6373;XX
6375;XX
6379;XX
6380;XX
6382;XX
6385;XX
6386;XX
6387;XIX
6388;XX
6389;XX
6392;XX
6393;XIX
6394;XX
6395;XX
6397;XIX
6403;XIX
6405;XX
6412;XX
6413;XX
6417;XIX
6418;XX
6419;XX
6420;XX
6421;XX
6422;XX
6424;XX
6427;XIX
6430;XX
6434;XIX
6437;XX
6438;XX
6439;XX
6440;XIX
6444;XX
6446;XIX
6447;XIX
6448;XX
6449;XX
6450;XX
6452;XIX
6455;XX
6456;XX
6457;XIX
6458;XX
6459;XX
6462;XX
6463;XIX
6465;XX
6468;XX
6469;XX
6471;XX
6480;XX
6487;XIX
6489;XVIII
6490;XX
6491;XIX
6492;XIX
6497;XX
6498;XX
6500;XX
6501;XX
6503;XIX
6505;XIX
6516;XX
6517;XX
6518;XX
6519;XX
6520;XX
6521;XX
6529;XX
6530;XX
6531;XX
6532;XX
6533;XX
6539;XX
6540;XVIII
6541;XVIII
6542;XVIII
6543;XX
6547;XIX
6557;XVIII
6558;XIX
6559;XIX
6560;XIX
6561;XX
6562;XIX
6563;XIX
6570;XVIII
6571;XX
6572;XX
6581;XIX
6583;XIX
6584;XX
6585;XX
6586;XX
6622;XIX
6636;XX
6638;XX
6639;XX
6640;XIX
6641;XX
6658;XX
6670;XVI
6687;XVIII
6689;XVII
6690;XV
6699;XIX
6700;XIX
6704;XX
6709;XX
6711;XX
6715;XX
6750;XX
6755;XIX
6756;XX
6760;XIX
6770;XX
6784;XX
6789;BRAK DANYCH
6791;XX
6794;XX
6795;XIX
6797;XX
6799;XIX
6807;XX
6808;XX
6809;XX
6810;XVIII
6816;XIX
6819;XIX
6821;XX
6825;XIX
6826;XIX
6827;XIX
6828;XX
6840;XVI
6848;XIX
6849;XIII
6851;XV
6854;XIX
6861;XX
6885;XIX
6891;XX
6901;XVII
6910;XV
6912;XVI
6913;XIX
6914;XIX
6915;XVI
6917;XX
6918;XX
6919;XIX
6921;XX
6923;XIX
6924;XVII
6925;XVII
6929;XIX
6930;XIX
6935;XVIII
6936;XVIII
6940;XX
6942;XX
6943;XX
6951;XIX
6952;XX
6953;XX
6956;XIX
6959;BRAK DANYCH
6960;XV
6969;XV
6976;XX
6980;XX
6981;XX
6982;BRAK DANYCH
6983;XX
6984;XX
6985;XX
7001;XIX
7002;XX
7091;BRAK DANYCH
7093;BRAK DANYCH
7136;BRAK DANYCH
7139;XX
7140;XX
7141;XX
7142;XX
7143;XX
7144;XX
7145;XX
7146;XX
7147;BRAK DANYCH
7148;XIX
7149;XIX
7150;XX
7151;XIX
7152;XX
7154;BRAK DANYCH
7155;BRAK DANYCH
7156;BRAK DANYCH
7160;BRAK DANYCH
7161;BRAK DANYCH
7162;BRAK DANYCH
7163;BRAK DANYCH
7164;BRAK DANYCH
7165;BRAK DANYCH
7166;XX
7167;XX
7168;XX
7169;XX
7170;XX
7171;XIX
7172;XIX
