website;wikipedia adres;full_id;osm_id;name
Brak;Brak artykułu na wikipedii;w18943464;18943464;Cmentarz Komunalny nr 1 Miłostowo
Brak;https://pl.wikipedia.org/wiki/Cmentarz Bożego Ciała w Poznaniu;w23858555;23858555;Cmentarz parafii Bożego Ciała
Brak;https://pl.wikipedia.org/wiki/Cmentarz Junikowo w Poznaniu;w23875243;23875243;Cmentarz Komunalny nr 2 Junikowo
Brak;https://pl.wikipedia.org/wiki/Cmentarz parafialny św. Jana Vianneya w Poznaniu;w24440977;24440977;Cmentarz parafii pw. św. Jana Vianneya
Brak;https://pl.wikipedia.org/wiki/Cmentarz przy ul. Samotnej w Poznaniu;w27926251;27926251;
Brak;Brak artykułu na wikipedii;w28377947;28377947;Cmentarz parafialny
Brak;https://pl.wikipedia.org/wiki/Cmentarz Jeżycki w Poznaniu;w28621397;28621397;Cmentarz Jeżycki
Brak;Brak artykułu na wikipedii;w28683435;28683435;Cmentarz parafii pw. Imienia Maryi
Brak;Brak artykułu na wikipedii;w31820931;31820931;
Brak;Brak artykułu na wikipedii;w38776952;38776952;
https://www.mbcz.poznan.pl/biuro-cmentarza/;Brak artykułu na wikipedii;w123975265;123975265;Cmentarz parafii Matki Boskiej Częstochowskiej
Brak;https://pl.wikipedia.org/wiki/Cmentarz Zasłużonych Wielkopolan;w129682742;129682742;Cmentarz Zasłużonych Wielkopolan
Brak;Brak artykułu na wikipedii;w130598224;130598224;Cmentarz Parafialny
Brak;Brak artykułu na wikipedii;w130919990;130919990;Cmentarz parafii pw. św. Jakuba Większego Apostoła
Brak;Brak artykułu na wikipedii;w130921037;130921037;
Brak;Brak artykułu na wikipedii;w131441577;131441577;Cmentarz parafii św. Stanisława Kostki
Brak;https://pl.wikipedia.org/wiki/Cmentarz Parafii Matki Bożej Pocieszenia w Poznaniu;w179404004;179404004;Cmentarz parafii Matki Bożej Pocieszenia
https://www.pro-gis.pl/;Brak artykułu na wikipedii;w181331644;181331644;Cmentarz parafialny
Brak;https://pl.wikipedia.org/wiki/Cmentarz Górczyński w Poznaniu;w222954813;222954813;Cmentarz Górczyński
https://polska-org.pl/7524082,Poznan,Cmentarz_zolnierzy_brytyjskich_z_okresu_I_i_II_wojny_swiatowej.html;https://pl.wikipedia.org/wiki/Cmentarz Wojenny Wspólnoty Brytyjskiej w Poznaniu;w262427489;262427489;Cmentarz Wojenny Wspólnoty Brytyjskiej
Brak;Brak artykułu na wikipedii;w262682740;262682740;Cmentarz parafialny
https://fotopolska.eu/72049,obiekt.html?map_z=18;https://pl.wikipedia.org/wiki/Cmentarz żydowski w Poznaniu;w430035671;430035671;Cmentarz żydowski
https://fotopolska.eu/Fort_Winiary_-_Cytadela_Cmentarz_Bohaterow_Radzieckich?map_z=17;https://pl.wikipedia.org/wiki/Cmentarz Bohaterów Polskich w Poznaniu;w430073209;430073209;Cmentarz Żołnierzy Radzieckich
Brak;Brak artykułu na wikipedii;w443443559;443443559;Opuszczony cmentarz ewangelicki
Brak;Brak artykułu na wikipedii;w443443560;443443560;Opuszczony cmentarz ewangelicki
Brak;Brak artykułu na wikipedii;w443445189;443445189;Opuszczony cmentarz ewangelicki
Brak;https://pl.wikipedia.org/wiki/Cmentarz przy ulicy Leśnej w Poznaniu;w751010573;751010573;Cmentarz przy ulicy Leśnej w Poznaniu
Brak;Brak artykułu na wikipedii;w808141302;808141302;Cmentarz sióstr urszulanek
Brak;Brak artykułu na wikipedii;w817480210;817480210;Sektor 1
Brak;Brak artykułu na wikipedii;w817480211;817480211;Sektor 2
Brak;Brak artykułu na wikipedii;w817480212;817480212;Sektor 3
