url;full_id;osm_id;name2;name1;person:name;Napis_na_pomniku;Opis;Artysta;Powstanie;Nazwa;memorial
https://pl.wikipedia.org/wiki/Figura św. Jana Nepomucena w Poznaniu;n413493263;413493263;;;;Brak;Brak;Brak;1724;Św. Jan Nepomucen;statue
https://pl.wikipedia.org/wiki/Pomnik Najświętszego Zbawiciela w Poznaniu;n583405206;583405206;;;;Brak;W hołdzie wdzięczności Jezusowi Chrystusowi zbawicielowi człowieka w 2000 lecie narodzin. Parafia Najświętszego Zbawiciela w 50-lecie istnienia;"Eugeniusz Olechowski; Zygmunt Roszak";2000;Najświętszy Zbawiciel;statue
Brak;n640100905;640100905;;;;Święty Jan Vianney 1818-1859 patron parafii. W 50-tą rocznicę kapłaństwa wdzięczny za błogosławione patronowanie. A.D.2007;Brak;Brak;2007;Św. Jan Vianney;statue
https://pl.wikipedia.org/wiki/Pomnik ofiar Fortu VII nad Rusałką w Poznaniu (wschodni brzeg);n650843700;650843700;;;;Brak;Pomnik upamiętniający miejsce stracenia 2000 ofiar II Wojny Światowej w styczniu 1940 roku;Jan Cieśliński;1961;Pomnik ofiar Fortu VII (wschodni brzeg);
https://pl.wikipedia.org/wiki/Pomnik Jurija Gagarina w Poznaniu;n1327573336;1327573336;;;;Brak;Brak;Jerzy Sobociński;1977;Jurij Gagarin;sculpture
https://pl.wikipedia.org/wiki/Pomnik Stanisława Moniuszki w Poznaniu;n1420429945;1420429945;;;;Brak;Brak;E. Haust;1951;Stanisław Moniuszko;bust
https://pl.wikipedia.org/wiki/Pomnik Ofiar Katynia i Sybiru w Poznaniu;n1429353158;1429353158;;;;Brak;Brak;Robert Sobociński;1999;Pomnik Ofiar Katynia i Sybiru;
Brak;n1812386460;1812386460;;;;Miejsce straceń kilkuset polskich patriotów przez hitlerowskich okupantów w kilku egzekucjach w latach 1939-1940;Pomnik upamiętniający miejsce straceń kilkuset polskich patriotów, rozstrzelanych przez hitlerowskich okupantów w latach 1939 - 1940;Brak;1974;Miejsce straceń kilkuset polskich patriotów;
Brak;n1942804084;1942804084;;;;Ku Wieczystej Chwale Powstańcom Wielkopolskim którzy zmarli i zginęli w Obozach Hitlerowskich;Pomnik upamiętniający Powstańców Wielkopolskich, poległych śmiercią walecznych na polu chwały 15.02.1919r.;Brak;1935;Pomnik Powstańców Wielkopolskich;
Brak;n1955069529;1955069529;;;;Tu pochowano 5 Radzieckich żołnierzy i oficerów którzy zginęli śmiercią bohaterów w walkach z Niemiecko Faszystowskimi zaborcami. Wieczna Chwała Bohaterom którzy oddali swe życie za wolność i niepodległość Związku Radzieckiego i Rzeczpolitej Polskiej 1945;Pomnik nagrobny 5 żołnierzy radzieckich, poległych w walkach o wyzwolenie rejonu Starołęka;Brak;1945;Pomnik nagrobny żołnierzy radzieckich;
Brak;n2423988554;2423988554;;;;Katyń 1940;Pomnik upamiętniający Oficerów WP, Ofiar NKWD;Z. Dłużniewicz;1990;Katyń 1940;stone
Brak;n2467296693;2467296693;;;;Brak;Brak;Brak;Brak;Jezus Chrystus;statue
https://pl.wikipedia.org/wiki/Pomnik stulecia Polskiego Towarzystwa Krajoznawczego w Poznaniu;n2467339456;2467339456;;;;Brak;Głaz upamiętniający prekursorów i pionierów zorganizowanej turystyki, krajoznawstwa oraz przewodnictwa na terenie Wielkopolski;Brak;2006;Głaz prekursorów turystyki i krajoznawstwa;stone
Brak;n2486284021;2486284021;;;;Brak;Fundowała gmina Wielka Starołęka;Brak;Brak;Matka Boża;statue
https://pl.wikipedia.org/wiki/Figura Matki Boskiej na Minikowie w Poznaniu;n2486284023;2486284023;;;;Brak;Kolumna ufundowana przez Józefa i Maryannę Heigelmann w 1892 r.;Brak;1892;Matka Boża;statue
Brak;n2486284025;2486284025;;;;Brak;Miłością wieczną umiłowałem was Jer 13.3.1933;Brak;Brak;Jezus Chrystus;statue
Brak;n2659156639;2659156639;;;;Brak;Brak;Władysław Wróblewski;Brak;Gustaw Manitius;
https://pl.wikipedia.org/wiki/Pomnik kryptologów w Poznaniu;n2997286169;2997286169;;;;Brak;Brak;"Grażyna Bielska–Kozakiewicz; Mariusz Kozakiewicz";2007;Pomnik kryptologów;
Brak;n3039927418;3039927418;;;;Brak;Brak;Brak;Brak;Matka Boża Niepokalanego Serca;statue
https://pl.wikipedia.org/wiki/Pomnik Ofiar obozu pracy dla Żydów w Poznaniu;n3061157129;3061157129;;;;Stadion Miejski był obozem hitlerowskim eksterminacji obywateli polskich pochodzenia żydowskiego z Poznania i okolic;Pomnik upamiętniający martyrologię żydowską na stadionie miejskim w latach 1940 - 1943;"Jan Rassumowski; Józef Kaliszan";1983;Pomnik ofiar hitlerowskiego obozu pracy;
https://pl.wikipedia.org/wiki/Pomnik Pyry w Poznaniu;n3188465004;3188465004;;;;Brak;Brak;Brak;2007;Poznańska Pyra;stone
Brak;n3234142086;3234142086;;;;ŚW. / RAFAŁ KALINOWSKI / KARMELITA BOSY / 1835 – 1907 / POWSTANIEC / SYBIRAK / ZAKONNIK / GORĄCY PATRIOTA / WIELKI CHRZEŚCIJANIN;Pomnik św. Rafała Kalinowskiego karmelity bosego - powstańca, sybiraka, zakonnika;Kazimierz Szczecina OCD;1989;Św. Rafał Kalinowski;statue
https://pl.wikipedia.org/wiki/Pomnik Karola Marcinkowskiego w Poznaniu;n3234668562;3234668562;;;;Karol Marcinkowski 1800-1846 Twórca pracy organicznej;Brak;Stanisław Radwański;2005;Karol Marcinkowski;statue
Brak;n3312478225;3312478225;;;;Brak;Głaz upamiętniający harcerzy poznańskich, poległych i zamęczonych w okresie II Wojny Światowej;Brak;1998;Pomnik poległych i zamęczonych Harcerzy Poznańskich;
https://pl.wikipedia.org/wiki/Pomnik Juliusza Słowackiego w Poznaniu;n3312516766;3312516766;;;;Brak;Brak;Władysław Marcinkowski;1923;Juliusz Słowacki;bust
https://pl.wikipedia.org/wiki/Pomnik Powstańców Wielkopolskich;n3317213701;3317213701;;;;Brak;Brak;Brak;Brak;Powstańcy Wielkopolscy;statue
https://pl.wikipedia.org/wiki/Pomnik Zdobywców Lotniska Ławica;n3490774435;3490774435;;;;Brak;Pomnik upamiętniający zdobycie szturmem Bazy Lotniczej Ławica przez Powstańców Wielkopolskich;"Jerzy Sobociński; Saturnin Skubiszyński";1984;Pomnik Zdobywców Lotniska Ławica;
https://pl.wikipedia.org/wiki/Pomnik Ignacego Jana Paderewskiego w Poznaniu;n3503171347;3503171347;;;;Brak;Brak;Rafał Nowak;2015;Ignacy Jan Paderewski;statue
https://pl.wikipedia.org/wiki/Fontanna na Malcie w Poznaniu;n3562887421;3562887421;;;;Brak;Brak;Brak;Brak;Fontanna na Malcie;plaque
Brak;n3580190208;3580190208;;;;W tym miejscu w dniu 7.06.1977 roku zginęli śmiercią lotnika płk dypl. pil. Rejewski Romuald płk pil. Babkiewicz Antoni Cześć ich pamięci !;Brak;Brak;2001;Miejsce śmierci płk dypl. Romualda Rejewskiego i płk Antoniego Babkiewicza;stone
Brak;n3585858121;3585858121;;;;Brak;Brak;Brak;Brak;UAM;stone
Brak;n3646023204;3646023204;;;;Brak;Tablica upamiętniająca zawieszenie polskiej flagi na siedzibie Prezydium Niemieckiej Policji w dniu 2 marca 1940 r.;J. Hoffman;1992;Zawieszenie polskiej flagi na siedzibie Prezydium Niemieckiej Policji;plaque
https://pl.wikipedia.org/wiki/Ławeczka Heliodora Święcickiego w Poznaniu;n3648628350;3648628350;;;;Brak;Brak;Grzegorz Godawa;2010;Ławka prof. Heliodora Święcickiego;bench
https://pl.wikipedia.org/wiki/Ławeczka Ignacego Łukasiewicza w Poznaniu;n3648628351;3648628351;;;;Brak;Brak;Brak;2013;Ławka Ignacego Łukasiewicza;bench
https://pl.wikipedia.org/wiki/Ławeczka Józefa Kostrzewskiego w Poznaniu;n3648628352;3648628352;;;;Brak;Brak;Grzegorz Godawa;2012;Ławka prof. Józefa Kostrzewskiego;bench
https://pl.wikipedia.org/wiki/Pomnik Romana Wilhelmiego w Poznaniu;n3659211612;3659211612;;;;Roman Wilhelmi 1936–1991 wybitny aktor obywatel Miasta Poznania;Brak;Roman Kosmala;2012;Roman Wilhelmi;bust
Brak;n3663183783;3663183783;;;;Słup kratowy / Rok budowy: 1955 / Rok odnowy: 2017;Brak;Brak;Brak;Słup kratowy;plaque
Brak;n3679992757;3679992757;;;;Brak;Brak;"Stanisław Jagmin; I. Woch";1928;Ignacy Paderewski;plaque
https://pl.wikipedia.org/wiki/Pomnik Fryderyka Chopina w Poznaniu;n3699642948;3699642948;;;;Brak;Brak;Marcin Rożek;1923;Fryderyk Chopin;bust
Brak;n3709572355;3709572355;;;;Brak;Brak;"Romuald Łuczko; Irena Woch";1998;Jan Baptysta Quadro;statue
Brak;n3709607486;3709607486;;;;Brak;Brak;Brak;Brak;Pałac Górków;plaque
Brak;n3710929511;3710929511;;;;Brak;Brak;Brak;1603;Św. Stanisław Biskup;statue
Brak;n3710929542;3710929542;;;;Brak;Brak;Brak;Brak;Matka Boża z Dzieciątkiem;statue
https://pl.wikipedia.org/wiki/Pomnik Akcji Bollwerk w Poznaniu;n3771622846;3771622846;;;;Na rozkaz gen. Władysława Sikorskiego, w dniu 21 lutego 1942 oddział dywersji bojowej Związku Odwetu „Kuba”, w brawurowej Akcji „Bollwerk”, dokonał spalenia obiektów magazynów portu rzecznego, zadając okupantowi dotkliwe straty. W odwecie za tę akcję...;Brak;"Marian Banasiewicz; Jerzy Nowakowski";1982;Akcja Bollwerk;
Brak;n3773009439;3773009439;;;;Zbiorowa mogiła jeńców wojennych pracujących przy kopaniu Rusałki. Niech spoczywają w spokoju, a ludzie niech o tym pamiętają.;Brak;Brak;Brak;Zbiorowa mogiła jeńców wojennych;
Brak;n3789422957;3789422957;;;;Brak;"Głaz przy ""Dębie Woności"" upamiętniającym 25 lat Wolności";Brak;Brak;Dąb Wolności;stone
https://pl.wikipedia.org/wiki/Pomnik ofiar katastrofy lotniczej w Poznaniu;n3789422958;3789422958;;;;W tym miejscu 10 czerwca 1952 r. doszło do utajnionej przez władze komunistyczne katastrofy bombowca Pe-2. Władze miasta Poznania 10 czerwca 2008 r.;Brak;Roman Kosmala;2008;Pomnik ofiar katastrofy bombowca;stone
https://pl.wikipedia.org/wiki/Pomnik Klemensa Janickiego w Poznaniu;n3873723106;3873723106;;;;Brak;Brak;Brak;2015;Klemens Janicki;statue
Brak;n4215342689;4215342689;;;;Jaz Maltański zbudowany w roku 1952, przebudowa i modernizacja w roku 1993, projekt B.S. i P. Architektonika, wykonawca Hydrotrust, Inwestor P.O.S.iR.;Brak;Brak;Brak;Jaz Maltański;plaque
Brak;n4240886694;4240886694;;;;Brak;Brak;Brak;1886;Matka Boża Niepokalana;statue
Brak;n4246009884;4246009884;;;;Brak;Brak;Brak;Brak;Najświętsza Maryja Panna;statue
Brak;n4264310805;4264310805;;;;Brak;Brak;Brak;Brak;Matka Boża;statue
Brak;n4266781035;4266781035;;;;Brak;Brak;Brak;2018;Tablica Wdzięczności;plaque
Brak;n4266781106;4266781106;;;;Brak;W dniu włączenia Wielkopolski do rodziny regionów UE;Brak;2004;Włączenie Wielkopolski do regionów Unii Europejskiej;stone
https://pl.wikipedia.org/wiki/Głaz Honoriusza Kowalczyka;n4266854759;4266854759;;;;Brak;Brak;Józef Petruk;2000;O. Honoriusz Kowalczyk;stone
Brak;n4267950922;4267950922;;;;Brak;Tablica informująca, że w tym miejscu w latach 1945-1953 mieściło się więzienie śledcze Wojewódzkiego Urzędu Bezpieczeństwa Publicznego;"Benedykt Kasznia; Piotr Andruszka";1990;Miejsce więzienia śledczego UB;plaque
https://pl.wikipedia.org/wiki/Pomnik Adama Mickiewicza w Poznaniu (PTPN);n4268119844;4268119844;;;;Brak;Brak;Józef Petruk;1998;Adam Mickiewicz;statue
https://pl.wikipedia.org/wiki/Głaz Piotra Majchrzaka;n4269621941;4269621941;;;;Brak;Pomnik upamiętniający zamordowanego przez ZOMO Piotra Majchrzaka;Józef Petruk;1990;Piotr Majchrzak;stone
https://pl.wikipedia.org/wiki/Pomnik Adama Mickiewicza w Poznaniu;n4271635759;4271635759;;;;Brak;Brak;Józefa Kaliszana (tablica pamiątkowa);1957;Cokół po pomniku Adama Mickiewicza;
Brak;n4289031066;4289031066;;;;Tablica upamiętniająca Zgromadzenie Narodowe zwołane w celu wysłuchania orędzia Prezydenta Rzeczypospolitej Polskiej Andrzeja Dudy w Sali Ziemi Międzynarodowych Targów Poznańskich w ramach Jubileuszu 1050. Rocznicy Chrztu Polski. Poznań, 15 kwietnia 2016;Brak;Brak;2016;Zgromadzenie Narodowe w ramach Jubileuszu 1050. Rocznicy Chrztu Polski;plaque
https://pl.wikipedia.org/wiki/Pomniki i rzeźby na Cytadeli w Poznaniu#Pomniki;n4293668175;4293668175;;;;Cześć bohaterom ZWM którzy w latach 1945-48 polegli na terenie Wielkopolski w walce o utrwalenie władzy ludowej;Brak;Brak;1975;Pomnik ZWM;
https://pl.wikipedia.org/wiki/Pomniki i rzeźby na Cytadeli w Poznaniu#Pomniki;n4293670312;4293670312;;;;Brak;Brak;Ryszard Skupin;1967;Pomnik Ofiar 1939-1956;
https://pl.wikipedia.org/wiki/Pomnik Harcerski przy ul. Za Cytadelą w Poznaniu;n4298845588;4298845588;;;;Pamięcią czcimy zwycięstwa naszych Ojców oraz Powstańcom harcerzom lat 1918-1919 i podpis Zuchy, harcerki i harcerze oraz instruktorzy hufca ZHP im. Powstańców Wielkopolskich. Poznań Stare Miasto. Zwracano wtedy uwagę w prasie na nielogiczne...;Pomnik poświęcony poległym i pomordowanym harcerzom i harcerkom ze staromiejskiej dzielnicy Poznania;"Marian Skrzypczak; Józef Kaliszan";1987;Pomnik poległych harcerzy;
https://pl.wikipedia.org/wiki/Dzwon Pokoju i Przyjaźni Między Narodami;n4298962099;4298962099;;;;Brak;Brak;"Jerzy Nowakowski; Saturnin Skubiszyński";1986;Dzwon Pokoju i Przyjaźni Między Narodami;
https://pl.wikipedia.org/wiki/Pomniki i rzeźby na Cytadeli w Poznaniu#Pomniki;n4304978451;4304978451;;;;Brak;Brak;Brak;Brak;Georgij Gierasimowicz Bondar;bust
https://pl.wikipedia.org/wiki/Pomniki i rzeźby na Cytadeli w Poznaniu#Pomniki;n4304978452;4304978452;;;;Brak;Brak;Brak;2003;Prof. Jarosław Maszewski;stone
https://pl.wikipedia.org/wiki/Pomniki i rzeźby na Cytadeli w Poznaniu#Pomniki;n4304978453;4304978453;;;;Brak;Brak;W. D. Borkiewicz-Szukowski;1930;Mauzoleum żołnierzy rosyjskich;
https://pl.wikipedia.org/wiki/Pomniki i rzeźby na Cytadeli w Poznaniu#Pomniki;n4304978454;4304978454;;;;Brak;Pomnik poświęcony poległym żołnierzom 7 Pułku Strzelców Konnych Wielkopolskich;Jan M. Jakób;1961;Pomnik 7. Pułku Strzelców Konnych Wielkopolskich;
https://pl.wikipedia.org/wiki/Pomniki i rzeźby na Cytadeli w Poznaniu#Pomniki;n4304978455;4304978455;;;;Brak;Pomnik poświęcony żołnierzom, poległym podczas niemieckiego bombardowania Bazy Lotniczej Ławica, w dniu 1 września 1939r.;Ryszard Skupin;1963;Pomnik nagrobny poległych podczas bombardowania Ławicy;
https://pl.wikipedia.org/wiki/Pomniki i rzeźby na Cytadeli w Poznaniu#Pomniki;n4304978456;4304978456;;;;Brak;Brak;Marian Banasiewicz;1982;Gen. Wasilij Czujkow;
