full_id,osm_id,osm_type,historic,plaque:type,name2,name1,artwork_type,person:death,person:name,material,width,website,ref:CRFOP,natural,denotation,circumference,inscription:url,layer,tourism,source_ref,flood_mark,flood_date,source:name,url,memorial:type,tower:type,man_made,wikipedia:pl,entrance,location,name:fa,power,backrest,amenity,subject:wikipedia,denomination,tomb,religion,description2,wheelchair:description,wheelchair,toilets:wheelchair,noexit,inscription,image,description,artist_name,wikipedia,wikidata,subject:wikidata,start_date,name:pl,name:en,name:de,name,memorial
n413493263,"413493263",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pl:Figura św. Jana Nepomucena w Poznaniu,Q9259473,Q221522,"1724",Św. Jan Nepomucen,John of Nepomuk statue,Johannes-Nepomuk-Statue,Św. Jan Nepomucen,statue
n583405206,"583405206",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W hołdzie wdzięczności Jezusowi Chrystusowi zbawicielowi człowieka w 2000 lecie narodzin. Parafia Najświętszego Zbawiciela w 50-lecie istnienia,"Eugeniusz Olechowski; Zygmunt Roszak",pl:Pomnik Najświętszego Zbawiciela w Poznaniu,Q11823355,,"2000",,,,Najświętszy Zbawiciel,statue
n640100905,"640100905",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Święty Jan Vianney 1818-1859 patron parafii. W 50-tą rocznicę kapłaństwa wdzięczny za błogosławione patronowanie. A.D.2007,"https://commons.wikimedia.org/wiki/File:Pozna%C5%84,_ko%C5%9Bci%C3%B3%C5%82_par._p.w._%C5%9Bw._Jana_Vianney,_1928-1930_10_pomnik_przed_ko%C5%9Bcio%C5%82em.JPG",,,,,,"2007",,,,Św. Jan Vianney,statue
n650843700,"650843700",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pomnik upamiętniający miejsce stracenia 2000 ofiar II Wojny Światowej w styczniu 1940 roku,Jan Cieśliński,pl:Pomnik ofiar Fortu VII nad Rusałką w Poznaniu (wschodni brzeg),Q4343487,,"1961",,,,Pomnik ofiar Fortu VII (wschodni brzeg),
n1327573336,"1327573336",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jerzy Sobociński,pl:Pomnik Jurija Gagarina w Poznaniu,Q56329529,,1977-11-07,,,,Jurij Gagarin,sculpture
n1420429945,"1420429945",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. Haust,pl:Pomnik Stanisława Moniuszki w Poznaniu,Q11823450,,"1951",,,,Stanisław Moniuszko,bust
n1429353158,"1429353158",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,En: Accessible via uneven paving or over grass.,limited,no,yes,,,,Robert Sobociński,pl:Pomnik Ofiar Katynia i Sybiru w Poznaniu,Q4217547,Q134301,1999-09-17,,,,Pomnik Ofiar Katynia i Sybiru,
n1812386460,"1812386460",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miejsce straceń kilkuset polskich patriotów przez hitlerowskich okupantów w kilku egzekucjach w latach 1939-1940,,"Pomnik upamiętniający miejsce straceń kilkuset polskich patriotów, rozstrzelanych przez hitlerowskich okupantów w latach 1939 - 1940",,,,,"1974; 1996",,,,Miejsce straceń kilkuset polskich patriotów,
n1942804084,"1942804084",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pomnik upamiętniający Powstańców Wielkopolskich, poległych śmiercią walecznych na polu chwały 15.02.1919r.",,,,,Ku Wieczystej Chwale Powstańcom Wielkopolskim którzy zmarli i zginęli w Obozach Hitlerowskich,,Polegli śmiercią walecznych na polu chwały 15.2.1919 r. pod Grójcem Małym Stanisław Kończal Stanisław Zajączkowski,,,,,"1935; 1950",,,,Pomnik Powstańców Wielkopolskich,
n1955069529,"1955069529",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,war_grave,christian,,,,,,Tu pochowano 5 Radzieckich żołnierzy i oficerów którzy zginęli śmiercią bohaterów w walkach z Niemiecko Faszystowskimi zaborcami. Wieczna Chwała Bohaterom którzy oddali swe życie za wolność i niepodległość Związku Radzieckiego i Rzeczpolitej Polskiej 1945,,"Pomnik nagrobny 5 żołnierzy radzieckich, poległych w walkach o wyzwolenie rejonu Starołęka",,,,,"1945",,,,Pomnik nagrobny żołnierzy radzieckich,
n2423988554,"2423988554",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katyń 1940,,"Pomnik upamiętniający Oficerów WP, Ofiar NKWD",Z. Dłużniewicz,,,Q134301,"1990",,,,Katyń 1940,stone
n2467296693,"2467296693",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jezus Chrystus,statue
n2467339456,"2467339456",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Głaz upamiętniający prekursorów i pionierów zorganizowanej turystyki, krajoznawstwa oraz przewodnictwa na terenie Wielkopolski",,pl:Pomnik stulecia Polskiego Towarzystwa Krajoznawczego w Poznaniu,Q11823589,,"2006",,,,Głaz prekursorów turystyki i krajoznawstwa,stone
