fid;FUNOGBUD_BZPL;FUNSZCZ_BZPL;FUNOGBUD_PL;FUNSZCZ_PL
30186;Budynki Kultu Religijnego;Kaplica;Budynki Kultu Religijnego;Kaplica
31623;Budynki Zbiorowego Zamieszkania;Dom Parafialny;Budynki Zbiorowego Zamieszkania;Dom Parafialny
5853;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
45072;Budynki Szkol I Instytucji Badawczych;Przedszkole, Schronisko Turystyczne, Szkola Podstawowa, Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Przedszkole, Schronisko Turystyczne, Szkoła Podstawowa, Szkoła Ponadpodstawowa
70728;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny
25101;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny
61340;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy
25039;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny
20925;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
54273;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
46410;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
29515;Budynki Szkol I Instytucji Badawczych;Przedszkole, Szkola Podstawowa, Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Przedszkole, Szkoła Podstawowa, Szkoła Ponadpodstawowa
20426;Budynki O Trzech I Wiecej Mieszkaniach;Apteka, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Apteka, Budynek Wielorodzinny
20424;Budynki Muzeow I Bibliotek;Muzeum;Budynki Muzeów I Bibliotek;Muzeum
62901;Budynki Biurowe;Inny Urzad Administracji Publicznej;Budynki Biurowe;Inny Urząd Administracji Publicznej
69152;Budynki Kultu Religijnego;Apteka, Kosciol;Budynki Kultu Religijnego;Apteka, Kościół
11793;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
29439;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
55465;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
55643;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
45079;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
54220;Ogolnodostepne Obiekty Kulturalne;Dom Kultury, Klub Dyskoteka, Placowka Dyplomatyczna Lub Konsularna;Ogólnodostępne Obiekty Kulturalne;Dom Kultury, Klub Dyskoteka, Placówka Dyplomatyczna Lub Konsularna
70688;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
29462;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
34434;Budynki Zbiorowego Zamieszkania;Dom Parafialny;Budynki Zbiorowego Zamieszkania;Dom Parafialny
47795;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
64644;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny
63460;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
3665;Budynki Zbiorowego Zamieszkania;Dom Parafialny;Budynki Zbiorowego Zamieszkania;Dom Parafialny
20271;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
4016;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
11923;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny
53712;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
41784;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny;Budynki Mieszkalne Jednorodzinne;Budynek Jednorodzinny
12054;Budynki Przemyslowe;Warsztat Remontowo Naprawczy;Budynki Przemysłowe;Warsztat Remontowo Naprawczy
